.	O
,	O
?	O
!	O

vc	O	
percebe	O
q	O
amadureceu	O
quando	O	
consegue	O
tomar	O	
novalgina	DRUG
gotas	O	
sem	O	
dar	O	
ânsia	EVENT	
de	O
vômito	EVENT	
.	O

paguei	O
4	O
50	O
em	O
uma	O
barrinha	O
proteica	O
com	O
gosto	O
de	O
novalgina	DRUG
que	O
me	O
fez	O
ter	O
ansia	EVENT
de	O
vômito	EVENT
no	O
meio	O
da	O
mario	O
werneck	O
.	O

novalgina	DRUG
por	O
que	O
tão	O
ruim	O
já	O
não	O
basta	O
a	O
dor	EVENT
febre	EVENT
e	O
mal	O
estar	O
do	O
doente	O
.	O

odeio	O
dipirona	DRUG
novalgina	DRUG
em	O
gotas	O
eu	O
quase	O
vomito	EVENT
quando	O
tomo	O
.	O

tomei	O
dipirona	DRUG
pra	O
passar	O
a	O
dor	EVENT
de	EVENT
dente	EVENT
fiquei	O
com	O
dor	EVENT
de	EVENT
cabeça	EVENT
.	O

Tomei	O
dipirona	DRUG
e	O
fiquei	O
com	O
sono	EVENT
Oi	O
?	O

garganta	O
inflamada	EVENT
tosse	EVENT
e	O
sem	O
voz	O
cataflan	DRUG
ou	O
novalgina	DRUG
+	O
nimesulid	DRUG
.	O

tosse	EVENT
com	O
sangue	O
febre	EVENT
inflamação	EVENT
na	O
garganta	O
edu	O
esquece	O
o	O
192	O
e	O
me	O
dá	O
uma	O
novalgina	DRUG
.	O

frio	O
febre	EVENT
novalgina	DRUG
suor	EVENT
frio	O
febre	EVENT
novalgina	DRUG
suor	EVENT
frio	O
.	O

amoxilina	DRUG
chegou	O
já	O
fiquei	O
até	O
triste	O
fim	O
de	O
semana	O
estarei	O
caindo	O
aos	O
pedaços	O
amarelada	O
toda	O
destruída	O
igual	O
um	O
the	O
walking	O
dead	O
com	O
peste	O
.	O
